timestamp,user_id,reward,reason
2025-03-07T11:55:59.010571,USER-7135291d,1,JSON generation successful
2025-03-07T11:56:06.959776,USER-7135291d,1,JSON generation successful
2025-03-07T11:56:13.773985,USER-7135291d,1,JSON generation successful
2025-03-07T11:56:22.908872,USER-7135291d,1,JSON generation successful
2025-03-07T11:56:31.730938,USER-80d7183e,1,JSON generation successful
2025-03-07T11:56:38.441757,USER-80d7183e,1,JSON generation successful
2025-03-07T11:56:46.791681,USER-80d7183e,-1,"Error: Unexpected fields: balance_after, user_id, activity_id, behavior_type, fraud_label"
2025-03-07T11:56:53.228010,USER-80d7183e,1,JSON generation successful
2025-03-07T11:57:01.744064,USER-80d7183e,1,JSON generation successful
2025-03-07T11:57:09.926556,USER-80d7183e,1,JSON generation successful
2025-03-07T11:57:17.473067,USER-1d284c74,1,JSON generation successful
2025-03-07T11:57:24.665157,USER-1d284c74,1,JSON generation successful
2025-03-07T11:57:31.692095,USER-1d284c74,1,JSON generation successful
2025-03-07T11:57:39.933517,USER-9204b67a,1,JSON generation successful
2025-03-07T11:57:46.820874,USER-9204b67a,1,JSON generation successful
2025-03-07T11:57:54.991180,USER-9204b67a,1,JSON generation successful
2025-03-07T11:58:04.532111,USER-9204b67a,1,JSON generation successful
2025-03-07T11:58:12.189834,USER-9204b67a,1,JSON generation successful
2025-03-07T11:58:21.697218,USER-4a18f3a4,1,JSON generation successful
2025-03-07T11:58:28.659708,USER-4a18f3a4,1,JSON generation successful
2025-03-07T11:58:35.484241,USER-4a18f3a4,1,JSON generation successful
2025-03-07T11:58:44.763723,USER-4a18f3a4,1,JSON generation successful
2025-03-07T11:58:52.091498,USER-4a18f3a4,1,JSON generation successful
2025-03-07T11:59:02.626709,USER-a08cce4f,1,JSON generation successful
2025-03-07T11:59:11.587455,USER-dc126b34,1,JSON generation successful
2025-03-07T11:59:18.821657,USER-dc126b34,1,JSON generation successful
2025-03-07T11:59:26.310098,USER-04e4b152,1,JSON generation successful
2025-03-07T11:59:33.998704,USER-04e4b152,1,JSON generation successful
2025-03-07T11:59:41.204939,USER-04e4b152,1,JSON generation successful
2025-03-07T11:59:48.104316,USER-04e4b152,1,JSON generation successful
2025-03-07T11:59:57.332782,USER-04e4b152,1,JSON generation successful
2025-03-07T12:00:07.087412,USER-35b2c227,1,JSON generation successful
2025-03-07T12:00:16.919491,USER-35b2c227,1,JSON generation successful
2025-03-07T12:00:24.110113,USER-32614332,1,JSON generation successful
2025-03-07T12:00:30.967104,USER-85b7b331,1,JSON generation successful
2025-03-07T12:00:39.327543,USER-85b7b331,1,JSON generation successful
2025-03-07T12:00:48.357702,USER-33d0df1a,1,JSON generation successful
2025-03-07T12:00:55.622682,USER-33d0df1a,1,JSON generation successful
2025-03-07T12:01:02.172890,USER-33d0df1a,1,JSON generation successful
2025-03-07T12:01:11.280342,USER-33d0df1a,1,JSON generation successful
2025-03-07T12:01:18.902487,USER-b64b2184,1,JSON generation successful
2025-03-07T12:01:26.315767,USER-a06579c9,1,JSON generation successful
2025-03-07T12:01:33.411996,USER-a06579c9,1,JSON generation successful
2025-03-07T12:01:40.903675,USER-a06579c9,1,JSON generation successful
2025-03-07T12:01:47.766775,USER-a06579c9,1,JSON generation successful
2025-03-07T12:01:56.084095,USER-a06579c9,1,JSON generation successful
2025-03-07T12:02:04.214679,USER-a06579c9,1,JSON generation successful
2025-03-07T12:02:11.877557,USER-be4ce454,1,JSON generation successful
2025-03-07T12:02:19.315993,USER-be4ce454,1,JSON generation successful
2025-03-07T12:02:26.039040,USER-be4ce454,1,JSON generation successful
2025-03-07T12:02:35.535331,USER-399a7741,1,JSON generation successful
2025-03-07T12:02:43.185161,USER-399a7741,1,JSON generation successful
2025-03-07T12:02:50.569994,USER-399a7741,1,JSON generation successful
2025-03-07T12:02:58.306496,USER-f113f124,1,JSON generation successful
2025-03-07T12:03:06.648281,USER-f113f124,1,JSON generation successful
2025-03-07T12:03:13.539089,USER-f113f124,1,JSON generation successful
2025-03-07T12:03:20.321173,USER-f113f124,1,JSON generation successful
2025-03-07T12:03:28.144502,USER-f113f124,1,JSON generation successful
2025-03-07T12:03:35.331161,USER-f113f124,1,JSON generation successful
2025-03-07T12:03:43.700292,USER-5eb0aec1,1,JSON generation successful
2025-03-07T12:03:52.749272,USER-5eb0aec1,1,JSON generation successful
2025-03-07T12:04:02.039151,USER-5eb0aec1,1,JSON generation successful
2025-03-07T12:04:10.638951,USER-0520c6e1,1,JSON generation successful
2025-03-07T12:04:17.156256,USER-0520c6e1,1,JSON generation successful
2025-03-07T12:04:24.248973,USER-c2e65fe4,1,JSON generation successful
2025-03-07T12:04:31.796911,USER-c2e65fe4,1,JSON generation successful
2025-03-07T12:04:40.638332,USER-784f6fe7,1,JSON generation successful
2025-03-07T12:04:48.212221,USER-784f6fe7,1,JSON generation successful
2025-03-07T12:04:54.737781,USER-784f6fe7,1,JSON generation successful
