transaction_id,user_id,bank_timestamp,local_timestamp,location,ip_address,device_id,network_type,type,amount,account_id,balance_before,granted,balance_after,merchant_name,recipient_id,recipient_bank,behavior_type,fraud_label
TXN-088e3a43af,USER-c4673343,2025-03-12T07:06:34-07:00,2025-03-12T14:06:34+00:00,"Los Angeles, USA",172.58.91.182,MacBook Pro,Public Wi-Fi (Unsecured),Unauthorized Stock Sale,17363.46,ACC-9ec6c494,1884.0,True,1884.0,,,,Insider Trading,1
TXN-338f88647a,USER-c4673343,2025-03-12T07:06:41-07:00,2025-03-12T14:06:41+00:00,"Los Angeles, USA",73.56.201.89,MacBook Pro,VPN Connection,Unauthorized Stock Purchase,17363.46,ACC-9ec6c494,1884.0,True,1884.0,Goldman Sachs,,,Insider Trading,1
TXN-72116fecbe,USER-c4673343,2025-03-12T07:06:48-07:00,2025-03-12T14:06:48+00:00,"Los Angeles, USA",73.56.201.89,MacBook Pro,VPN Connection,Unauthorized Stock Sale,17363.46,ACC-9ec6c494,1884.0,True,1884.0,JP Morgan,,,Insider Trading,1
TXN-e42210bbc9,USER-c4673343,2025-03-12T07:07:04-07:00,2025-03-12T14:07:04+00:00,"Los Angeles, USA",73.56.201.89,MacBook Pro,VPN Connection,Transfer Out,17363.46,ACC-9ec6c494,1884.0,False,1884.0,,ACC-45637846,Bank of America,Insider Trading,1
TXN-fe545c19ba,USER-c4673343,2025-03-12T07:07:11-07:00,2025-03-12T14:07:11+00:00,"Los Angeles, USA",73.56.201.89,MacBook Pro,VPN Connection,Transfer Out,15000.0,ACC-9ec6c494,1884.0,False,1884.0,,ACC-45637846,Bank of America,Insider Trading,1
TXN-f63abf0267,USER-c4673343,2025-03-12T07:07:18-07:00,2025-03-12T14:07:18+00:00,"Los Angeles, USA",73.56.201.89,MacBook Pro,VPN Connection,Unauthorized Stock Purchase,10000.0,ACC-9ec6c494,1884.0,True,1884.0,Goldman Sachs,,,Insider Trading,1
TXN-d8e6a312e8,USER-4144e67a,2025-03-12T09:07:18-05:00,2025-03-12T14:07:18+00:00,"Chicago, USA",98.23.36.225,iPhone-13,Cellular,Purchase,341.42,ACC-e86d2b64,1800.0,True,1458.58,,,,Everyday Spender,0
TXN-bd52b29255,USER-e2720f37,2025-03-12T09:07:18-05:00,2025-03-12T14:07:18+00:00,"Chicago, USA",98.23.200.224,Dell Laptop,Cellular,Deposit,3464.49,ACC-45bac51b,569.0,True,4033.49,,,,Business Owner,0
TXN-8a4495b2c9,USER-e2720f37,2025-03-12T10:07:18-04:00,2025-03-12T14:07:18+00:00,"New York, USA",73.56.149.137,iPhone-13,Ethernet,Deposit,4784.35,ACC-45bac51b,4033.49,True,8817.84,,,,Business Owner,0
TXN-5c28f417c8,USER-14ac026a,2025-03-12T09:07:18-05:00,2025-03-12T14:07:18+00:00,"Chicago, USA",98.23.153.47,iPhone-13,Cellular,Purchase,171.09,ACC-98ba6eb5,5678.0,True,5506.91,,,,Everyday Spender,0
TXN-b0389dfcb8,USER-cb301e5b,2025-03-12T07:07:18-07:00,2025-03-12T14:07:18+00:00,"Los Angeles, USA",172.58.194.105,MacBook Pro,Wi-Fi,Transfer Out,370.83,ACC-dabfa6f9,9946.0,True,9575.17,,,,Everyday Spender,0
TXN-ef9018f7e9,USER-cb301e5b,2025-03-12T09:07:18-05:00,2025-03-12T14:07:18+00:00,"Chicago, USA",98.23.36.249,iPhone-13,Cellular,Withdrawal,116.18,ACC-dabfa6f9,9575.17,True,9458.99,,,,Everyday Spender,0
